year,month,state,unemployment_rate,total_labor_force,employed,unemployed,industry_focus,source
2015,1,CA,6.4,19100000,17877600,1222400,technology and services,SYNTHETIC SAMPLE (not official BLS data)
2015,4,CA,6.2,19100000,17915800,1184200,technology and services,SYNTHETIC SAMPLE (not official BLS data)
2015,7,CA,6.1,19100000,17934900,1165100,technology and services,SYNTHETIC SAMPLE (not official BLS data)
2015,10,CA,6.0,19100000,17954000,1146000,technology and services,SYNTHETIC SAMPLE (not official BLS data)
2016,1,CA,5.7,19220000,18124460,1095540,technology and services,SYNTHETIC SAMPLE (not official BLS data)
2016,4,CA,5.5,19220000,18162900,1057100,technology and services,SYNTHETIC SAMPLE (not official BLS data)
2016,7,CA,5.4,19220000,18182120,1037880,technology and services,SYNTHETIC SAMPLE (not official BLS data)
2016,10,CA,5.3,19220000,18201340,1018660,technology and services,SYNTHETIC SAMPLE (not official BLS data)
2017,1,CA,5.0,19340000,18373000,967000,technology and services,SYNTHETIC SAMPLE (not official BLS data)
2017,4,CA,4.8,19340000,18411680,928320,technology and services,SYNTHETIC SAMPLE (not official BLS data)
2017,7,CA,4.7,19340000,18431020,908980,technology and services,SYNTHETIC SAMPLE (not official BLS data)
2017,10,CA,4.6,19340000,18450360,889640,technology and services,SYNTHETIC SAMPLE (not official BLS data)
2018,1,CA,4.5,19460000,18584300,875700,technology and services,SYNTHETIC SAMPLE (not official BLS data)
2018,4,CA,4.3,19460000,18623220,836780,technology and services,SYNTHETIC SAMPLE (not official BLS data)
2018,7,CA,4.2,19460000,18642680,817320,technology and services,SYNTHETIC SAMPLE (not official BLS data)
2018,10,CA,4.1,19460000,18662140,797860,technology and services,SYNTHETIC SAMPLE (not official BLS data)
2019,1,CA,4.3,19580000,18738060,841940,technology and services,SYNTHETIC SAMPLE (not official BLS data)
2019,4,CA,4.1,19580000,18777220,802780,technology and services,SYNTHETIC SAMPLE (not official BLS data)
2019,7,CA,4.0,19580000,18796800,783200,technology and services,SYNTHETIC SAMPLE (not official BLS data)
2019,10,CA,3.9,19580000,18816380,763620,technology and services,SYNTHETIC SAMPLE (not official BLS data)
2020,1,CA,10.4,19700000,17651200,2048800,technology and services,SYNTHETIC SAMPLE (not official BLS data)
2020,4,CA,10.2,19700000,17690600,2009400,technology and services,SYNTHETIC SAMPLE (not official BLS data)
2020,7,CA,10.1,19700000,17710300,1989700,technology and services,SYNTHETIC SAMPLE (not official BLS data)
2020,10,CA,10.0,19700000,17730000,1970000,technology and services,SYNTHETIC SAMPLE (not official BLS data)
2021,1,CA,7.5,19820000,18333500,1486500,technology and services,SYNTHETIC SAMPLE (not official BLS data)
2021,4,CA,7.3,19820000,18373140,1446860,technology and services,SYNTHETIC SAMPLE (not official BLS data)
2021,7,CA,7.2,19820000,18392960,1427040,technology and services,SYNTHETIC SAMPLE (not official BLS data)
2021,10,CA,7.1,19820000,18412780,1407220,technology and services,SYNTHETIC SAMPLE (not official BLS data)
2022,1,CA,4.4,19940000,19062640,877360,technology and services,SYNTHETIC SAMPLE (not official BLS data)
2022,4,CA,4.2,19940000,19102520,837480,technology and services,SYNTHETIC SAMPLE (not official BLS data)
2022,7,CA,4.1,19940000,19122460,817540,technology and services,SYNTHETIC SAMPLE (not official BLS data)
2022,10,CA,4.0,19940000,19142400,797600,technology and services,SYNTHETIC SAMPLE (not official BLS data)
2015,1,TX,4.7,13900000,13246700,653300,energy and manufacturing,SYNTHETIC SAMPLE (not official BLS data)
2015,4,TX,4.5,13900000,13274500,625500,energy and manufacturing,SYNTHETIC SAMPLE (not official BLS data)
2015,7,TX,4.4,13900000,13288400,611600,energy and manufacturing,SYNTHETIC SAMPLE (not official BLS data)
2015,10,TX,4.3,13900000,13302300,597700,energy and manufacturing,SYNTHETIC SAMPLE (not official BLS data)
2016,1,TX,4.9,14020000,13333020,686980,energy and manufacturing,SYNTHETIC SAMPLE (not official BLS data)
2016,4,TX,4.7,14020000,13361060,658940,energy and manufacturing,SYNTHETIC SAMPLE (not official BLS data)
2016,7,TX,4.6,14020000,13375080,644920,energy and manufacturing,SYNTHETIC SAMPLE (not official BLS data)
2016,10,TX,4.5,14020000,13389100,630900,energy and manufacturing,SYNTHETIC SAMPLE (not official BLS data)
2017,1,TX,4.5,14140000,13503700,636300,energy and manufacturing,SYNTHETIC SAMPLE (not official BLS data)
2017,4,TX,4.3,14140000,13531980,608020,energy and manufacturing,SYNTHETIC SAMPLE (not official BLS data)
2017,7,TX,4.2,14140000,13546120,593880,energy and manufacturing,SYNTHETIC SAMPLE (not official BLS data)
2017,10,TX,4.1,14140000,13560260,579740,energy and manufacturing,SYNTHETIC SAMPLE (not official BLS data)
2018,1,TX,4.1,14260000,13675340,584660,energy and manufacturing,SYNTHETIC SAMPLE (not official BLS data)
2018,4,TX,3.9,14260000,13703860,556140,energy and manufacturing,SYNTHETIC SAMPLE (not official BLS data)
2018,7,TX,3.8,14260000,13718120,541880,energy and manufacturing,SYNTHETIC SAMPLE (not official BLS data)
2018,10,TX,3.7,14260000,13732380,527620,energy and manufacturing,SYNTHETIC SAMPLE (not official BLS data)
2019,1,TX,3.7,14380000,13847940,532060,energy and manufacturing,SYNTHETIC SAMPLE (not official BLS data)
2019,4,TX,3.5,14380000,13876700,503300,energy and manufacturing,SYNTHETIC SAMPLE (not official BLS data)
2019,7,TX,3.4,14380000,13891080,488920,energy and manufacturing,SYNTHETIC SAMPLE (not official BLS data)
2019,10,TX,3.3,14380000,13905460,474540,energy and manufacturing,SYNTHETIC SAMPLE (not official BLS data)
2020,1,TX,7.9,14500000,13354500,1145500,energy and manufacturing,SYNTHETIC SAMPLE (not official BLS data)
2020,4,TX,7.7,14500000,13383500,1116500,energy and manufacturing,SYNTHETIC SAMPLE (not official BLS data)
2020,7,TX,7.6,14500000,13398000,1102000,energy and manufacturing,SYNTHETIC SAMPLE (not official BLS data)
2020,10,TX,7.5,14500000,13412500,1087500,energy and manufacturing,SYNTHETIC SAMPLE (not official BLS data)
2021,1,TX,5.9,14620000,13757420,862580,energy and manufacturing,SYNTHETIC SAMPLE (not official BLS data)
2021,4,TX,5.7,14620000,13786660,833340,energy and manufacturing,SYNTHETIC SAMPLE (not official BLS data)
2021,7,TX,5.6,14620000,13801280,818720,energy and manufacturing,SYNTHETIC SAMPLE (not official BLS data)
